request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Pay 49918 today. Balance remains safe throughout 90-day forecast.
request_245,65760.0,not_affordable,not_recommended,none,,none,Do not make this payment. No safe option available.
request_246,64086.0,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-05-15,none,Use 3 payments starting 2026-04-03.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,Pay 1059.3 today. Balance remains safe throughout 90-day forecast.
request_248,901.55,affordable_with_plan,partial_payment,2025-02-07:901.55|2025-04-24:1064.05,2025-04-24,none,Pay 901.55 today and remaining 1064.05 on 2025-04-24.
request_249,168.14,affordable_later,wait,2026-03-15:643.2,2026-03-15,none,"Wait until 2026-03-15, then pay 643.2 in full."
request_250,28820.0,not_affordable,not_recommended,none,,none,Do not make this payment. No safe option available.
request_251,3348.55,not_affordable,not_recommended,none,,none,Do not make this payment. No safe option available.
request_252,4028268.83,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,"Wait until 2026-09-15, then pay 28082000 in full."
request_253,1434.9,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-05-15,none,Use 3 payments starting 2024-03-21.
request_254,530.85,affordable_later,wait,2025-10-15:3535.2,2025-10-15,none,"Wait until 2025-10-15, then pay 3535.2 in full."
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay 3345000 today. Balance remains safe throughout 90-day forecast.
request_256,138614.09,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-08-15,none,Use 3 payments starting 2024-06-10.
request_257,527.84,affordable_later,wait,2026-01-15:1352.4,2026-01-15,none,"Wait until 2026-01-15, then pay 1352.4 in full."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,Pay 1113.6 today. Balance remains safe throughout 90-day forecast.
request_259,193.12,affordable_later,wait,2024-11-15:935,2024-11-15,none,"Wait until 2024-11-15, then pay 935 in full."
request_260,15059400.0,not_affordable,not_recommended,none,,none,Do not make this payment. No safe option available.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,Pay 1830.4 today. Balance remains safe throughout 90-day forecast.
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Pay 9236000 today. Balance remains safe throughout 90-day forecast.
request_263,14718.0,not_affordable,not_recommended,none,,none,Do not make this payment. No safe option available.
request_264,18853.15,affordable_later,wait,2026-06-15:111300,2026-06-15,none,"Wait until 2026-06-15, then pay 111300 in full."
request_265,45970.0,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Pay 45970 today. Balance remains safe throughout 90-day forecast.
request_266,720.32,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-09-15,none,Use 3 payments starting 2025-08-03.
request_267,1648.84,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-03-15,none,Use 3 payments starting 2026-01-08.
request_268,1015.6,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-08-15,none,Use 3 payments starting 2024-06-14.
request_269,22207.9,not_affordable,not_recommended,none,,none,Do not make this payment. No safe option available.
request_270,535.4,not_affordable,not_recommended,none,,none,Do not make this payment. No safe option available.
request_271,15286.19,affordable_later,wait,2024-11-15:91300,2024-11-15,none,"Wait until 2024-11-15, then pay 91300 in full."
request_272,5541045.41,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,Use 3 payments starting 2025-02-12.
request_273,10169354.57,affordable_with_plan,partial_payment,2026-04-07:10169354.57|2026-06-15:5691645.43,2026-06-15,none,Pay 10169354.57 today and remaining 5691645.43 on 2026-06-15.
request_274,2071.02,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2025-01-15,none,Use 3 payments starting 2024-12-04.
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay 15884000 today. Balance remains safe throughout 90-day forecast.
